%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1610713950312676767,1539,1610713950312499748,crazyflie/base_link,-1.514503836631775,-0.5091281533241272,-0.027186132967472076,-0.04289688542485237,0.015221476554870605,-0.05535082519054413,0.9974289536476135
1610713950321179941,1540,1610713950321054275,crazyflie/base_link,-1.5147243738174438,-0.5100170969963074,-0.031605951488018036,-0.04289688542485237,0.013837706297636032,-0.05258328467607498,0.9975988268852234
1610713950333263850,1541,1610713950333091618,crazyflie/base_link,-1.5133341550827026,-0.5097401142120361,-0.023203842341899872,-0.04289688542485237,0.01107016485184431,-0.05119951069355011,0.997705340385437
1610713950341499696,1542,1610713950341332922,crazyflie/base_link,-1.517701506614685,-0.5149181485176086,-0.03404693305492401,-0.03459426388144493,0.012453935109078884,-0.045664429664611816,0.9982799887657166
1610713950351850633,1543,1610713950351655847,crazyflie/base_link,-1.5153030157089233,-0.510448694229126,-0.031562622636556625,-0.035978034138679504,0.013837706297636032,-0.04843197017908096,0.9980823993682861
1610713950361822847,1544,1610713950361572102,crazyflie/base_link,-1.5147942304611206,-0.5105347633361816,-0.03403312712907791,-0.03736180439591408,0.013837706297636032,-0.04704819992184639,0.9980977177619934
1610713950372112082,1545,1610713950371789104,crazyflie/base_link,-1.5132173299789429,-0.5076832175254822,-0.025639910250902176,-0.035978034138679504,0.013837706297636032,-0.04704819992184639,0.9981485605239868
1610713950381932910,1546,1610713950381681099,crazyflie/base_link,-1.5115948915481567,-0.506900429725647,-0.027115851640701294,-0.03874557837843895,0.012453935109078884,-0.04843197017908096,0.997996985912323
1610713950392499457,1547,1610713950392278315,crazyflie/base_link,-1.5125350952148438,-0.5092854499816895,-0.029376203194260597,-0.03736180439591408,0.01107016485184431,-0.045664429664611816,0.998196542263031
1610713950403700717,1548,1610713950403415775,crazyflie/base_link,-1.5127679109573364,-0.5049249529838562,-0.025009524077177048,-0.03321049362421036,0.013837706297636032,-0.045664429664611816,0.9983087778091431
1610713950412550576,1549,1610713950412279983,crazyflie/base_link,-1.513258695602417,-0.5093284845352173,-0.028036974370479584,-0.03459426388144493,0.009686394594609737,-0.04428065940737724,0.9983729720115662
1610713950420743435,1550,1610713950420485047,crazyflie/base_link,-1.5164775848388672,-0.5102872252464294,0.017295531928539276,-0.013837706297636032,0.00830262340605259,-0.035978034138679504,0.9992222785949707
1610713950433211310,1551,1610713950432939961,crazyflie/base_link,-1.5178475379943848,-0.5128456354141235,0.009569345973432064,-0.013837706297636032,0.009686394594609737,-0.035978034138679504,0.9992098212242126
1610713950441836538,1552,1610713950441554184,crazyflie/base_link,-1.5142064094543457,-0.5092296004295349,0.023849617689847946,-0.020756559446454048,0.00830262340605259,-0.03874557837843895,0.9989989995956421
1610713950452745931,1553,1610713950452549830,crazyflie/base_link,-1.5140923261642456,-0.5082839727401733,0.024456361308693886,-0.020756559446454048,0.00830262340605259,-0.040129344910383224,0.9989444017410278
1610713950463551991,1554,1610713950463309041,crazyflie/base_link,-1.5097088813781738,-0.49580347537994385,0.030307117849588394,-0.023524099960923195,0.013837706297636032,-0.04704819992184639,0.9985197186470032
1610713950472581110,1555,1610713950472371434,crazyflie/base_link,-1.5113757848739624,-0.5024461150169373,0.022776195779442787,-0.023524099960923195,0.012453935109078884,-0.045664429664611816,0.9986021518707275
